State/Province,Brand,Store Number,Store Name,Ownership Type,Street Address,City,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,State,Abbrev,Code
AK,49,49,49,49,49,49,49,49,41,49,49,49,Alaska,Alaska,AK
AL,85,85,85,85,85,85,85,85,83,85,85,85,Alabama,Ala.,AL
AR,55,55,55,55,55,55,55,55,53,55,55,55,Arkansas,Ark.,AR
AZ,488,488,488,488,488,488,488,488,474,488,488,488,Arizona,Ariz.,AZ
CA,2821,2821,2821,2821,2821,2821,2821,2821,2767,2821,2821,2821,California,Calif.,CA
CO,481,481,481,481,481,481,481,481,467,481,481,481,Colorado,Colo.,CO
CT,123,123,123,123,123,123,123,123,121,123,123,123,Connecticut,Conn.,CT
DC,91,91,91,91,91,91,91,91,91,91,91,91,District of Columbia,D.C.,DC
DE,25,25,25,25,25,25,25,25,23,25,25,25,Delaware,Del.,DE
FL,694,694,694,694,694,694,694,694,664,694,694,694,Florida,Fla.,FL
GA,326,326,326,326,326,326,326,326,314,326,326,326,Georgia,Ga.,GA
HI,99,99,99,99,99,99,99,99,90,99,99,99,Hawaii,Hawaii,HI
IA,89,89,89,89,89,89,89,89,85,89,89,89,Iowa,Iowa,IA
ID,67,67,67,67,67,67,67,67,67,67,67,67,Idaho,Idaho,ID
IL,575,575,575,575,575,575,575,575,560,575,575,575,Illinois,Ill.,IL
IN,221,221,221,221,221,221,221,221,215,221,221,221,Indiana,Ind.,IN
KS,94,94,94,94,94,94,94,94,90,94,94,94,Kansas,Kans.,KS
KY,116,116,116,116,116,116,116,116,110,116,116,116,Kentucky,Ky.,KY
LA,84,84,84,84,84,84,84,84,80,84,84,84,Louisiana,La.,LA
MA,273,273,273,273,273,273,273,273,259,273,273,273,Massachusetts,Mass.,MA
MD,257,257,257,257,257,257,257,257,248,257,257,257,Maryland,Md.,MD
ME,30,30,30,30,30,30,30,30,29,30,30,30,Maine,Maine,ME
MI,283,283,283,283,283,283,283,283,262,283,283,283,Michigan,Mich.,MI
MN,184,184,184,184,184,184,184,184,176,184,184,184,Minnesota,Minn.,MN
MO,188,188,188,188,188,188,188,188,175,188,188,188,Missouri,Mo.,MO
MS,32,32,32,32,32,32,32,32,28,32,32,32,Mississippi,Miss.,MS
MT,36,36,36,36,36,36,36,36,36,36,36,36,Montana,Mont.,MT
NC,338,338,338,338,338,338,338,338,322,338,338,338,North Carolina,N.C.,NC
ND,13,13,13,13,13,13,13,13,13,13,13,13,North Dakota,N.D.,ND
NE,58,58,58,58,58,58,58,58,56,58,58,58,Nebraska,Nebr.,NE
NH,29,29,29,29,29,29,29,29,27,29,29,29,New Hampshire,N.H.,NH
NJ,261,261,261,261,261,261,261,261,250,261,261,261,New Jersey,N.J.,NJ
NM,76,76,76,76,76,76,76,76,75,76,76,76,New Mexico,N.M.,NM
NV,253,253,253,253,253,253,253,253,230,253,253,253,Nevada,Nev.,NV
NY,645,645,645,645,645,645,645,645,627,645,645,645,New York,N.Y.,NY
OH,378,378,378,378,378,378,378,377,357,378,378,378,Ohio,Ohio,OH
OK,79,79,79,79,79,79,79,79,76,79,79,79,Oklahoma,Okla.,OK
OR,359,359,359,359,359,359,359,359,343,359,359,359,Oregon,Ore.,OR
PA,357,357,357,357,357,357,357,357,350,357,357,357,Pennsylvania,Pa.,PA
RI,27,27,27,27,27,27,27,27,27,27,27,27,Rhode Island,R.I.,RI
SC,131,131,131,131,131,131,131,131,125,131,131,131,South Carolina,S.C.,SC
SD,25,25,25,25,25,25,25,25,25,25,25,25,South Dakota,S.D.,SD
TN,180,180,180,180,180,180,180,180,162,180,180,180,Tennessee,Tenn.,TN
TX,1042,1042,1042,1042,1042,1042,1042,1042,1002,1042,1042,1042,Texas,Tex.,TX
UT,101,101,101,101,101,101,101,101,99,101,101,101,Utah,Utah,UT
VA,432,432,432,432,432,432,432,432,413,432,432,432,Virginia,Va.,VA
VT,8,8,8,8,8,8,8,8,8,8,8,8,Vermont,Vt.,VT
WA,757,757,757,757,757,757,757,757,738,757,757,757,Washington,Wash.,WA
WI,145,145,145,145,145,145,145,145,144,145,145,145,Wisconsin,Wis.,WI
WV,25,25,25,25,25,25,25,25,23,25,25,25,West Virginia,W.Va.,WV
WY,23,23,23,23,23,23,23,23,22,23,23,23,Wyoming,Wyo.,WY
